CODIGO_DA_IES,NOME_DA_IES,SIGLA,ORGANIZACAO_ACADEMICA,MUNICIPIO,UF,SITUACAO_IES
408,ESCOLA SUPERIOR DE RELAÇÕES PÚBLICAS,ESURP,Faculdade,Recife,PE,Extinta
21399,Faculdade Uninassau Patos,NASSAU PATOS,Faculdade,Patos,PB,Extinta
19670,Faculdade de Ciências da Saúde Moinhos de Vento,FACSMV,Faculdade,Porto Alegre,RS,Ativa
4198,Faculdade Morgana Potrich,FAMP,Faculdade,Mineiros,GO,Ativa
14228,Faculdade Presidente Antônio Carlos Rio Novo,FUNEES,Faculdade,Rio Novo,MG,Extinta
14204,Faculdade Presidente Antônio Carlos de Arcos,FUNEES Arcos,Faculdade,Arcos,MG,Extinta
496,UNIVERSIDADE DE FRANCA,UNIFRAN,Universidade,Franca,SP,Ativa
13832,FACULDADE SAGRADA FAMÍLIA,FASF,Faculdade,Ponta Grossa,PR,Ativa
3396,Centro Universitário LS,UNILS,Centro Universitário,Brasília,DF,Ativa
556,CONSERVATÓRIO DE MÚSICA DE NITERÓI,CMN,Faculdade,Niterói,RJ,Extinta
22742,FACULDADE MASTER DO PARÁ - FAMAP TUCUMÃ,FAMAP,Faculdade,Tucumã,PA,Ativa
4493,FACULDADE DE TECNOLOGIA CERTUS,CERTUS,Faculdade,São Paulo,SP,Extinta
2365,CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS,UNICATÓLICA,Centro Universitário,Palmas,TO,Ativa
1550,FACULDADE DE EDUCAÇÃO FÍSICA DE FOZ DO IGUAÇU,null,Faculdade,Foz do Iguaçu,PR,Ativa
13476,FACULDADE SÃO BASÍLIO MAGNO,FASBAM,Faculdade,Curitiba,PR,Ativa
2596,INSTITUTO SUPERIOR DE EDUCAÇÃO DON DOMÊNICO,IDON,Faculdade,Guarujá,SP,Extinta
21857,Faculdade Tecnológica de Limoeiro do Norte: Ladislau Pereira,FTLN,Faculdade,Limoeiro do Norte,CE,Ativa
3303,Faculdade Invest de Ciências e Tecnologia,INVEST,Faculdade,Cuiabá,MT,Ativa
1099,FACULDADE DE EDUCAÇÃO E CIÊNCIAS GERENCIAIS DE SÃO PAULO,FECG-SP,Faculdade,São Paulo,SP,Extinta
1215,FACULDADE ANGLO LATINO,FAL,Faculdade,São Paulo,SP,Extinta
3585,FACULDADE SANTA CRUZ,FACRUZ,Faculdade,Santa Cruz do Capibaribe,PE,Ativa
4584,Faculdade FACESE,null,Faculdade,Curitiba,PR,Extinta
17487,Faculdade Metropolitana do Marajó,FAMMA,Faculdade,Breves,PA,Ativa
24881,Faculdade Filadelfia de Tecnologia,FAFILTEC,Faculdade,Itajaí,SC,Ativa
16395,Faculdade de Tecnologia de Carapicuiba,FATEC,Faculdade,Carapicuíba,SP,Ativa
22472,FACULDADE ARQUIDIOCESANA DE PIRAPORA,FAP,Faculdade,Pirapora,MG,Ativa
17014,CENTRO SUPERIOR DE ESTUDOS JURÍDICOS CARLOS DRUMMOND DE ANDRADE,CSEJCDA,Faculdade,São Paulo,SP,Ativa
2474,CENTRO UNIVERSITÁRIO MARIA MILZA,UNIMAM,Centro Universitário,Cruz das Almas,BA,Ativa
1989,INSTITUTO SUPERIOR DE EDUCAÇÃO AVANTIS,AVANTIS,Faculdade,Balneário Camboriú,SC,Extinta
824,CENTRO UNIVERSITÁRIO DE GOIATUBA,UNICERRADO,Centro Universitário,Goiatuba,GO,Ativa
1375,FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA,FCARP,Faculdade,Araputanga,MT,Ativa
21240,FACULDADE UNIRB - PIAUÍ,F. UNIRB,Faculdade,Teresina,PI,Ativa
738,CENTRO UNIVERSITÁRIO TERESA D'ÁVILA,FATEA,Centro Universitário,Lorena,SP,Ativa
